Sentence,Image1,Image2,Item,Group
Ela assistiu ao_filme e_de_repente João começou a_tocar violão.,Image13_A.png,Image13_B.png,D1,E
Ela sentou no_sofá e_só_assim ela conseguiu dormir.,Image14_B.png,Image14_A.png,D2,E
Sábado ela tomou o_sorvete depois_de comer a_comida.,Image01_A.png,Image01_B.png,1DMSC,E
Ela enviou mensagem para_João e_em_seguida ela chamou o_Uber.,Image15_A.png,Image15_B.png,D3,E
Domingo ela fechou a_torneira depois_de expor o_delito.,Image08_B.png,Image02_B.png,2DMSU,E
Quando ela bateu no_portão o_João se_assustou.,Image16_B.png,Image16_A.png,D4,E
No_feriado depois_de ligar o_celular ela ouviu a_música.,Image03_A.png,Image03_B.png,3DSMC,E
Assim_que ela amarrou a_chuteira ela chutou a_bola.,Image17_A.png,Image17_B.png,D5,E
Ontem ela assou_pão então hoje ela fez_sopa.,Image18_B.png,Image18_A.png,D6,E
Sexta-feira depois_de sujar a_janela ela pagou o_produto.,Image10_B.png,Image04_B.png,4DSMU,E
Ela ligou o_chuveiro e_de_repente João tocou a_campainha.,Image19_A.png,Image19_B.png,D7,E
Semana_passada ela quebrou a_travessa antes_de varrer o_tapete.,Image05_A.png,Image05_B.png,5AMSC,E
Ela esquentou o_lanche e_só_assim João arrumou a_mesa.,Image20_B.png,Image20_A.png,D8,E
Terça-feira ela olhou o_presente antes_de passar o_secador.,Image12_B.png,Image06_B.png,6AMSU,E
Ela organizou a_estante e_em_seguida descansou na_cama.,Image21_A.png,Image21_B.png,D9,E
Quando ela bebeu refrigerante ela colocou a_lata no_lixo.,Image22_B.png,Image22_A.png,D10,E
De_noite antes_de comprar o_vestido ela contou o_dinheiro.,Image07_A.png,Image07_B.png,7ASMC,E
Assim_que ela escreveu o_recado ela bateu na_porta.,Image23_A.png,Image23_B.png,D11,E
Hoje antes_de lavar a_camisa ela chamou a_polícia.,Image08_A.png,Image02_A.png,8ASMU,E
Ontem ela foi_à_praia então_hoje ela passou hidratante.,Image24_B.png,Image24_A.png,D12,E
Quinta-feira ela saldou a_dívida depois_de juntar o_salário.,Image09_A.png,Image09_B.png,9DMSC,E
Ela conferiu o_cardápio e_de_repente ela amassou o_guardanapo.,Image25_A.png,Image25_B.png,D13,E
Ela escreveu o_artigo e_só_assim ela leu o_livro.,Image26_B.png,Image26_A.png,D14,E
Domingo ela pegou a_carteira depois_de pintar a_parede.,Image10_A.png,Image04_A.png,10DMSU,E
Ela bordou o_short e_em_seguida ela tirou uma_foto.,Image27_A.png,Image27_B.png,D15,E
No_feriado depois_de abrir o_armário ela guardou o_casaco.,Image11_A.png,Image11_B.png,11DSMC,E
Quando ela apontou o_dedo João virou a_cabeça.,Image28_B.png,Image28_A.png,D16,E
Sábado depois_de rasgar o_plástico ela cortou o_cabelo.,Image12_A.png,Image06_A.png,12DSMU,E
Assim_que ela estendeu a_roupa ela puxou o_varal.,Image29_A.png,Image29_B.png,D17,E
Ontem ela imprimiu a_foto então_hoje ela montou um_mural.,Image30_B.png,Image30_A.png,D18,E
Sentence,Image1,Image2,Item,Group
Ela assistiu ao_filme e_de_repente João o_começou a_tocar violão.,Image13_A.png,Image13_B.png,D1,F
Ela sentou no_sofá e_só_assim ela conseguiu dormir.,Image14_B.png,Image14_A.png,D2,F
Sábado ela tomou o_sorvete depois_de comprar o_vestido.,Image07_B.png,Image01_B.png,1DMSU,F
Ela enviou mensagem para_João e_em_seguida ela chamou o_Uber.,Image15_A.png,Image15_B.png,D3,F
Domingo depois_de lavar a_camisa ela fechou a_torneira.,Image02_A.png,Image02_B.png,2DSMC,F
Quando ela bateu no_portão o_João se_assustou.,Image16_B.png,Image16_A.png,D4,F
No_feriado depois_de saldar a_dívida ela ouviu a_música.,Image09_B.png,Image03_B.png,3DSMU,F
Assim_que ela amarrou a_chuteira ela chutou a_bola.,Image17_A.png,Image17_B.png,D5,F
Ontem ela assou o_pão então_hoje ela fez_sopa.,Image18_B.png,Image18_A.png,D6,F
Sexta-feira ela pegou a_carteira antes_de pagar o_produto.,Image04_A.png,Image04_B.png,4AMSC,F
Ela ligou o_chuveiro e_de_repente João tocou a_campainha.,Image19_A.png,Image19_B.png,D7,F
Semana_passada ela guardou o_casaco antes_de varrer o_tapete.,Image11_B.png,Image05_B.png,5AMSU,F
Ela esquentou o_lanche e_só_assim João arrumou a_mesa.,Image20_B.png,Image20_A.png,D8,F
Terça-feira antes_de passar o_secador ela cortou o_cabelo.,Image06_A.png,Image06_B.png,6ASMC,F
Ela organizou a_estante e_em_seguida descansou na_cama.,Image21_A.png,Image21_B.png,D9,F
Quando ela bebeu refrigerante ela colocou a_lata no_lixo.,Image22_B.png,Image22_A.png,D10,F
De_noite antes_de comer a_comida ela contou o_dinheiro.,Image07_A.png,Image01_A.png,7ASMU,F
Assim_que ela escreveu o_recado ela bateu na_porta.,Image23_A.png,Image23_B.png,D11,F
Hoje ela expôs o_delito depois_de chamar a_polícia.,Image08_A.png,Image08_B.png,8DMSC,F
Ontem ela foi à_praia então_hoje ela passou hidratante.,Image24_B.png,Image24_A.png,D12,F
Quinta-feira ela ligou o_celular depois_de juntar o_salário.,Image09_A.png,Image03_A.png,9DMSU,F
Ela conferiu o_cardápio e_de_repente ela amassou o_guardanapo.,Image25_A.png,Image25_B.png,D13,F
Ela escreveu o_artigo e_só_assim ela leu o_livro.,Image26_B.png,Image26_A.png,D14,F
Domingo depois_de pintar a_parede ela sujou a_janela.,Image10_A.png,Image10_B.png,10DSMC,F
Ela bordou o_short e_em_seguida ela tirou uma_foto.,Image27_A.png,Image27_B.png,D15,F
No_feriado depois_de abrir o_armário ela quebrou a_travessa.,Image11_A.png,Image05_A.png,11DSMU,F
Quando ela apontou o_dedo João virou a_cabeça.,Image28_B.png,Image28_A.png,D16,F
Sábado ela rasgou o_plástico antes_de olhar o_presente.,Image12_A.png,Image12_B.png,12AMSC,F
Assim_que ela estendeu a_roupa ela puxou o_varal.,Image29_A.png,Image29_B.png,D17,F
Ontem ela imprimiu a_foto então_hoje ela montou um_mural.,Image30_B.png,Image30_A.png,D18,F
Sentence,Image1,Image2,Item,Group
Ela assistiu ao_filme e_de_repente João o_começou a_tocar violão.,Image13_A.png,Image13_B.png,D1,G
Ela sentou no_sofá e_só_assim ela conseguiu dormir.,Image14_B.png,Image14_A.png,D2,G
Sábado depois_de comer a_comida ela tomou o_sorvete.,Image01_A.png,Image01_B.png,1DSMC,G
Ela enviou mensagem para_João e_em_seguida ela chamou o_Uber.,Image15_A.png,Image15_B.png,D3,G
Domingo depois_de expor o_delito ela fechou a_torneira.,Image08_B.png,Image02_B.png,2DSMU,G
Quando ela bateu no_portão o_João se_assustou.,Image16_B.png,Image16_A.png,D4,G
No_feriado ela ligou o_celular antes_de ouvir a_música.,Image03_A.png,Image03_B.png,3AMSC,G
Assim_que ela amarrou a_chuteira ela chutou a_bola.,Image17_A.png,Image17_B.png,D5,G
Ontem ela assou o_pão então_hoje ela fez_sopa.,Image18_B.png,Image18_A.png,D6,G
Sexta-feira ela sujou a_janela antes_de pagar o_produto.,Image10_B.png,Image04_B.png,4AMSU,G
Ela ligou o_chuveiro e_de_repente João tocou a_campainha.,Image19_A.png,Image19_B.png,D7,G
Semana_passada antes_de varrer o_tapete ela quebrou a_travessa.,Image05_A.png,Image05_B.png,5ASMC,G
Ela esquentou o_lanche e_só_assim João arrumou a_mesa.,Image20_B.png,Image20_A.png,D8,G
Terça-feira antes_de passar o_secador ela olhou o_presente.,Image12_B.png,Image06_B.png,6ASMU,G
Ela organizou a_estante e_em_seguida descansou na_cama.,Image21_A.png,Image21_B.png,D9,G
Quando ela bebeu refrigerante ela colocou a_lata no_lixo.,Image22_B.png,Image22_A.png,D10,G
De_noite ela comprou o_vestido depois_de contar o_dinheiro.,Image07_A.png,Image07_B.png,7DMSC,G
Assim_que ela escreveu o_recado ela bateu na_porta.,Image23_A.png,Image23_B.png,D11,G
Hoje ela lavou a_camisa depois_de chamar a_polícia.,Image08_A.png,Image02_A.png,8DMSU,G
Ontem ela foi à_praia então_hoje ela passou hidratante.,Image24_B.png,Image24_A.png,D12,G
Quinta-feira depois_de juntar o_salário ela saldou a_dívida.,Image09_A.png,Image09_B.png,9DSMC,G
Ela conferiu o_cardápio e_de_repente ela amassou o_guardanapo.,Image25_A.png,Image25_B.png,D13,G
Ela escreveu o_artigo e_só_assim ela leu o_livro.,Image26_B.png,Image26_A.png,D14,G
Domingo depois_de pintar a_parede ela pegou a_carteira.,Image10_A.png,Image04_A.png,10DSMU,G
Ela bordou o_short e_em_seguida ela tirou uma_foto.,Image27_A.png,Image27_B.png,D15,G
No_feriado ela abriu o_armário antes_de guardar o_casaco.,Image11_A.png,Image11_B.png,11AMSC,G
Quando ela apontou o_dedo João virou a_cabeça.,Image28_B.png,Image28_A.png,D16,G
Sábado ela rasgou o_plástico antes_de cortar o_cabelo.,Image12_A.png,Image06_A.png,12AMSU,G
Assim_que ela estendeu a_roupa ela puxou o_varal.,Image29_A.png,Image29_B.png,D17,G
Ontem ela imprimiu a_foto então_hoje ela montou um_mural.,Image30_B.png,Image30_A.png,D18,G
Sentence,Image1,Image2,Item,Group
Ela assistiu ao_filme e_de_repente João começou a_tocar violão.,Image13_A.png,Image13_B.png,D1,H
Ela sentou no_sofá e_só_assim ela conseguiu dormir.,Image14_B.png,Image14_A.png,D2,H
Sábado depois_de comprar o_vestido ela tomou o_sorvete.,Image07_B.png,Image01_B.png,1DSMU,H
Ela enviou mensagem para_João e_em_seguida ela chamou o_Uber.,Image15_A.png,Image15_B.png,D3,H
Domingo ela lavou a_camisa antes_de fechar a_torneira.,Image02_A.png,Image02_B.png,2AMSC,H
Quando ela bateu no_portão o_João se_assustou.,Image16_B.png,Image16_A.png,D4,H
No_feriado ela saldou a_dívida antes_de ouvir a_música.,Image09_B.png,Image03_B.png,3AMSU,H
Assim_que ela amarrou a_chuteira ela chutou a_bola.,Image17_A.png,Image17_B.png,D5,H
Ontem ela assou o_pão então_hoje ela fez_sopa.,Image18_B.png,Image18_A.png,D6,H
Sexta-feira antes_de pagar o_produto ela pegou a_carteira.,Image04_A.png,Image04_B.png,4ASMC,H
Ela ligou o_chuveiro e_de_repente João tocou a_campainha.,Image19_A.png,Image19_B.png,D7,H
Semana_passada antes_de varrer o_tapete ela guardou o_casaco.,Image11_B.png,Image05_B.png,5ASMU,H
Ela esquentou o_lanche e_só_assim João arrumou a_mesa.,Image20_B.png,Image20_A.png,D8,H
Terça-feira ela passou o_secador depois_de cortar o_cabelo.,Image06_A.png,Image06_B.png,6DMSC,H
Ela organizou a_estante e_em_seguida descansou na_cama.,Image21_A.png,Image21_B.png,D9,H
Quando ela bebeu refrigerante ela colocou a_lata no_lixo.,Image22_B.png,Image22_A.png,D10,H
De_noite ela comeu a_comida depois_de contar o_dinheiro.,Image07_A.png,Image01_A.png,7DMSU,H
Assim_que ela escreveu o_recado ela bateu na_porta.,Image23_A.png,Image23_B.png,D11,H
Hoje depois_de chamar a_polícia ela expôs o_delito.,Image08_A.png,Image08_B.png,8DSMC,H
Ontem ela foi à_praia então_hoje ela passou hidratante.,Image24_B.png,Image24_A.png,D12,H
Quinta-feira depois_de juntar o_salário ela ligou o_celular.,Image09_A.png,Image03_A.png,9DSMU,H
Ela conferiu o_cardápio e_de_repente ela amassou o_guardanapo.,Image25_A.png,Image25_B.png,D13,H
Ela escreveu o_artigo e_só_assim ela leu o_livro.,Image26_B.png,Image26_A.png,D14,H
Domingo ela pintou a_parede antes_de sujar a_janela.,Image10_A.png,Image10_B.png,10AMSC,H
Ela bordou o_short e_em_seguida ela tirou uma_foto.,Image27_A.png,Image27_B.png,D15,H
No_feriado ela abriu o_armário antes_de quebrar a_travessa.,Image11_A.png,Image05_A.png,11AMSU,H
Quando ela apontou o_dedo João virou a_cabeça.,Image28_B.png,Image28_A.png,D16,H
Sábado antes_de olhar o_presente ela rasgou o_plástico.,Image12_A.png,Image12_B.png,12ASMC,H
Assim_que ela estendeu a_roupa ela puxou o_varal.,Image29_A.png,Image29_B.png,D17,H
Ontem ela imprimiu a_foto então hoje ela montou um_mural.,Image30_B.png,Image30_A.png,D18,H
